ID,Comment,Like
             Moises Salazar           ,BLINKS QUE PASO TENEMOS QUE HACER STR44M A NUESTRAS REINAS.SI QUIEREN QUE GANEN LAS ♡CHICAS♡HAGANLO POR ELLAS DEMOSTREMOS EL AMOR DE ELLAS/BLINK FOREVER.,    282  
             i'll name my car JYP so i can park jin young           ,"Unaswerable question:Who wrote the first ""No one, Absolutely no one"" comment in this MV?And also:WHEN WILL YOU STOP? I WANT TO SEE USEFUL COMMENTS, FULL OF LOVE TO GIRLSEdit: I'm super late, but still, YAAAAAY! There are no more spam comments in this video! Also, these type of comments are very wrong. K-Pop should be a household for everyone, and we shouldn't hate each other, as fandoms that we are.",    1.2만  
             Ana Stephanie Zamora           ,This is stupid. Real blinks come here to comment on the girls and the music video! Stop spamming the same thing over and over! Blinks report these please!!             (Edit) sorry for the late edit! For those of you that are late we got rid of all those spam comments! And let’s just make this comment section into a positive space where we can enjoy the hard work that our girls did to get us this AMAZING comeback!! There’s no need to be negative. If you don’t like BLACKPINK then don’t comment. Much love to my blinks 🤍,    4.7만  
             Ava Alirezaei           ,See lisa killin’ it,    6.6천  
             tata's dad           ,idek what genre to call this but DUNDUNDUND DURN DURN DUR DUN,    2.9만  
             Lisa M           ,"DO NOT INTERACT WITH HATERS, JUST FOCUS ON BLACKPINK. DO NOT REPLY THEIR COMMENT",    2천  
             Destiny C           ,"The vocals, visuals, dances and the raps is EVERYTHINGGGGGG",    4.2만  
             nelav yoo           ,"0:41 Rosie, you're so cute",    2.4천  
             Rey Golino           ,Please report the “No one literally no one” they're trying to freeze the vi3ws spread !!!edit: Thanks for the likes and opinions blinks!keep streaming HYLT and give a positive comment!,    4만  
             Armie Gragasin           ,"Trust me if blackpink go to an award they will win like the speed of lightEdit:thanks for all the likes but you shouldn't fight redvelevet, twice, and bp are friends so we should be friends too",    3.5만  
             Kim Jeon           ,"Us Blinks don't need expensive gifts, all we want is BLACKPINK to win SOTY! then work hard and str3am.",    2.9천  
             Brenda Sultana           ,They've never disappointed us But YG on the other hand..... yeah they suck,    2천  
             isabelle Rodrigues           ,Lisa rap omg,    667  
             Emily Gutierrez           ,Why is no one talking about the mv??We got them trending good job blinks let's continue helping our queens rise higher and show the hater that they're wrong,    2만  
             Jessie Simon           ,i feel like the beat and the lyrics are appealing to both men and women - not all songs are like that. (EDIT: since the haters are keen on misunderstanding for the sake of flack. In no way did I imply that certain genders cannot listen to a certain type of song. But if that's what you understood from this comment then go cry to your mommy LOL),    4.2만  
             ONLY AR           ,BLACKPINK - ‘How You Like That’ has been certified 3x Platinum on QQ Music. It’s now the fastest Korean song to do so,    6.4만  
             unscaryjisoo           ,"I actually cried, I was waiting for this comeback since yg announced it. I’m so happy rn-Edit: How the heck did I get 5.2k likes in 2 hours I’m so surprised-Edit 2: how the actual heck, did I get 45k likes dude- :’)",    5.2만  
             Sameera Badarudheen           ,Stream harder atleast upto 30 days(December 31)Please!,    9  
             turtle rabbit           ,WE NEED TO GET 764 TODAY!!!!!,    9  
             iu_jieuniee           ,"Let’s get this to the first most viewed mv in 24hours!!Edit: We did it Blinks!!!! Now our goal is 100M!!2nd Edit: WOW 100M is achieved, next goal would be 200M, shouldn’t be long before our goal reaches 1 Billion!!3rd Edit: Omg, it's alr 200M, is gonna reach 300M quick:)!!4th Edit: It's alr 300M I dunno how long it will take for me to edit again!:)5th Edit: 400M!!!! YEAHHH6th Edit: It's 500MMM, kinda wish it can reach 1B fast:)7th Edit: wanted to edit when it's 1B but people been chasing me so I guess it's time for 600M:)",    9.3천  
             Ceci k           ,THESE QUEENS ARE EVERYTHING,    1.9만  
             Lara Aura Larios Licea           ,JENNIE,    8  
             Rahma Assifa 9.10_MT           ,"Dear Blinks,I'm truly sorry on the behalf of the anti's that are commenting on this video. In my perspective, I think that haters/anti's are just trying to spam continuously on both Stay Gold and How You Like That M/V's to make us think that us fandoms are the ones behind it. As a true Army, We never even planned on sabotaging your goals and still respected you guys and BP. So please, dont blame this on us and just report them.  But I saw some part of your fandom thinking that we are the one's behind this and started commenting the same thing to get ""revenge"", and I really don't think that's acceptable and it's just making your fandom's reputation go down. All i'm asking is to just realize that neither of us are a part of this and that it's the haters fault who started this whole chaos, thank you.From, Army+No fanwars please :(+And no, i'm not saying that the ""toxic one's"" are Armies, but K-pop Haters I hope you understand..+Don't post a link to your video please my comment is not a promotion market :v",    2.4만  
             adinda naura           ,JISOO,    3.3천  
             jjinnjin yeah           ,Don't like me? Then tell me how you like that - Blackpink,    5.6만  
             tuong nguyen           ,Việt nam điểm danh nào,    7.4천  
             Sharlene Fuentes           ,79M views in 22hrsJennie to haters: with a smile on my face I'll KISS you goodbye!!!Edited: (1)86.3M views in 24hrsCONGRATULATIONS EVERYONE!!!CONGRATULATIONS BLACKPINK!!!*Thank you guys*SPREAD LOVE NOT HATE!Keep safe y'all!!!Edited: (2)200M views in just a week!! HORAAYYYY!! Congratulations again!!!!,    2.7만  
             Tae loves kookie           ,I am a ARMY and I find it very rude to just hate on BP cause I stan both and like them both but people are just judgemental,    5.6천  
             chOu GoLD           ,i love it احبكم بلاك بينكك وينكم ياعرب,    1.7천  
             turtle rabbit           ,PLEASE WATCH THE MV!!! THE GIRLS NEEDS US TO WIN!!!!! SO PLEASE IF YOU LIKE THEM TO WIN AN AWARD PLEASE WATCH THE MV OF HOW YOU LIKE THAT!!!,    7  
             Rifki Dhio           ,THEY OUTFIT MORE THAN AWESOME,    6.4천  
             Voranouth Supadulya           ,Love the modernized traditional Korean outfits!,    1.7만  
             Bby V           ,Jisoo Jennie Lisa Rosé <3,    2.3천  
             elba zurita           ,"Vamos blinks!!! Ignoren a lxs haters, nosotrxs podemos más!",    460  
             Blinkoloji           ,Perfect...,    1만  
             0T4 PINKS           ,blinks let’s be united so blackpink can get the awards that they deserve keep str3aming the HYLT mv and vote Blackpink on MAMA,    2.1천  
             ABDEL SWITCH           ,THE SONG IS SO AMAZING,    7.4천  
             I Purple You           ,Blackpink bölgenizde Turkish blink,    928  
             Illary Samira           ,"Any Selenators , Arianators , Little Monsters , and here to support BLACKPINK  and stream How You Like That",    3.6천  
             ali veli           ,Gidiyorum cehennemin taa dibine.Gelcen mi?TURKISH BLINK,    1.5천  
             Lương Chung Thưởng           ,"Blinks are str3aming this MV.Lisa said: ""one more time""""One more time time""......",    2.5천  
             Stephanie Jane Andoy           ,BLACKPINK: How you like that?Me: NO I DON'T LIKE IT COZ I LOVEEEE IT VERYYY MUCHHHH!!!Edit (2). Emojis don't freeze the views guys <3,    2.7만  
             ᄏᄏᄏᄏ           ,haters: spamming commentblackpink: non-stop record breakingblinks: how you like that,    1.1만  
             Javi Solar           ,VAMOS BLINKS POR LOS PREMIOS MAMA DE NUESTRAS PINKS!!!!,    409  
             Midnight MoonProductions           ,Anti-fans: THEIR TERRIBLE SINGERSBlackpink: HOW U LIKE THAT?,    4.6천  
             Baekie Byun           ,Jisoo visuali der susarım.,    3.4천  
             LISA'S GF           ,"These people in the comments section need a brain, I swear....",    3.2만  
             jade           ,wtf is happening with bts' and this queen's mv? it literally has the same comment in every each person,    2.5만  
             Kim Jeon           ,"Real life: If we stream, Blackpink wins, If we Vote, Blackpink wins.",    449  
             Stephanie Jane Andoy           ,"BLACKPINK: How you like that?Me: NO I DON'T LIKE IT COZ I LOVEEEE IT VERYYY MUCHHHH!!Edit: Done. Sorry I did not know emojis freezes the views :3Edit (2): Emojis don't freeze the views (;Edit (3): I am not a liar. I was so fed up reading ""no one"" comments so I tried to leave good comments as possible so blinks may see atleast one decent comment. I'M A HUGE BLACKPINK FAN Y'ALL, and yes I'm a swiftie too :*",    4.6만  
             better hill           ,"My 3 years old niece like ""KILL THIS LOVE"" better than this song, because there is something like duck in the MV lolAnyways, I can tell that she is blink too now. Hahahhaa ahh she is so cute when she dance to blackpink song.Edited: wow thank you for so many likes, I didn't expect it at all. And that's actually 2 swans in Jennie's scene (not duck).Some people really need to chill, my niece is 3 years old who has her own preference, hope u all can respect that (her fav: DDD, Boombayah, KTL). and ofcourse I like all of bp songs. Actually, I just want to share my fangirling experience here, and also thank you for sharing your fangirling experience with family in this comment, that's really adorable!",    2.1만  
             Midnight Wolf           ,"For all of yall wondering why everyone is commenting the same thing, some ARMYs and other toxic kpop stans are doing it to freeze views. Guys, I know you are reading this, plz stop! You have your group, we have ours. You listen to your group, we listen to ours We have been waiting a long time for this, so for the love of God, leave us aloneEdit: it doesn't matter who started it,2 wrongs don't make a right",    2.6만  
             MOTIVATIONAL VIDEOS           ,How many international fans are here? 🌍,    7.5만  
             Kim Jeon           ,VOTE BLACKPINK IN MAMA SOTY,    392  
             Kim Jeon           ,10 reason why blackpink deserve SOTY: 1. TALENTED2.TALENTED3. TALENTED4. TALENTED5. TALENTED6. TALENTED7. TALENTED8. TALENTED9. TALENTED10. TALENTEDPLEASE STR3AM FOR OUT PINKS!,    149  
             Vanessa Rivera           ,How many filipino blinks are here?🇵🇭👇👇,    106  
             Not your friend           ,Yall keep hating but BLACKPINK keeps winning . That’s it . You’ll know how useless you are . ;),    3.7만  
             Pqueen_delisi           ,I wish jisoo said  ''Black pink in your area '' the beginning of the song.,    4.6천  
             Famosinhos Teen           ,"ESTAMOS CHEGANDOO BLINKS,700 MILHÕESSSS, NÃO PAREM DE ASSISTIREMMMM;-;",    624  
             Bill TYP           ,"83M views in 24hrs, 200M views in 7 days How you like that Haters?",    6.7천  
             Rizky Bintang           ,"1x Watch : ?5x Watch : NOT BAD 10x Watch : NOT BAD AT ALL20x Watch : HoW YoU LiKeEe ThAaAaTtTtEdit : 100x watch : Now I know what my brain was created forThanks for 9,8 likes btw",    1.1만  
             Selly Potato           ,"Let's do it Blinks, show them that we're not called monster streamers for nothing!",    395  
             handriansyah pakaya           ,Im a ReVeluv here to support BLACKPINK! Lets go we can do it!!,    2.9만  
             Judy Ann Relos           ,One of a kind. BLACKPINK MV's are the most ICONIC of all.,    1.1천  
             •SØY- VAŁEŇ•           ,No bajemos la guardia. No podemos dejar que les quiten a blackpink el puesto de el vídeo mas visto en 2020,    111  
             Fans Club           ,song of the year,    2.9천  
             Μπομπ Σφουγγαράκης           ,This is song is so addictive I can't stop listening to it.,    2.9만  
             Andrea Baikole           ,G-DRAGON POST THIS ON HIS STORY,    2.4만  
             WHITE BLUE OPPA           ,"Blink, what if this be the last time we saw them in this concept? :(",    1.1천  
             Min Z           ,I am: I've seen everything in life!!!BLACKPINK: How you like that?,    2.6만  
             CJ Molano           ,BLINKS who wants the girls to win in MAMA 2020👇,    694  
             Josh Stephen A. Astillero           ,BLINKS who wants the girls to win in MAMA 2020👇,    1.4천  
             Luna 007           ,"Can we appreciate how great they performed for their comeback i mean this is really a masterpiece They killed it.I can't get the song off my head i literally sang it everyday, i'm really addicted to this powerful song.",    1.7만  
             Ly Ly           ,BLACKPINK World Domination,    432  
             Tian Paulin           ,Look at you now look at me,    3.7만  
             pralay           ,Who wants this bop to hit 1 billion soon?,    3.1만  
             Famosinhos Teen           ,VAMU VAMU 700 MILHÕESSSS,    796  
             plus nation           ,Main rapper jennie unni Main vocal rosé unnie Main dancer lisa unnie Main visual & secret leader & blink's  mom jisoo unnie,    336  
             In hh           ,"You guys haters, whatever you guys do, BLACKPINK STILL CAN TAKE OVER THE CHART LOL",    1.2만  
             Lesyeuxde_mandu           ,Have listened to this tons of times already but l'm still obsessing over lisa's badabingbadaboomboomboom :')))),    4.1천  
             hatice           ,Blink don't hate ARMY and ARMY don't hate Blinks !!These are just haters of both groups!!!,    2.2만  
             Blackpink In your area           ,"Vamos blinks , hagamos que las pinks ganen todo lo que se merecen",    91  
             Andeng           ,"I think the reason yg rarely makes blackpink comeback is because its big. And when I say big, its just BIG. Like just look at those background props damn. Their mvs are so grand its like throwing money everywhere. Im not complaining tho🤩",    2만  
             SANTIAGO CALDERÓN MORENO           ,Popular Opinion: BLACKPINK song is getting better and getting everytime has COMEBACK.,    571  
             Listen Linda           ,"The spam comments are hurting my head- anyways slayed by this comeback.Edit: guys thank you for the love and likes. And also let’s not start fan wars, I love all of our fellow kpop groups/fandoms. Let’s not let the trolls divide us, we are better than them!!!!",    2.2만  
             James Bonn           ,"This song is a banger! I like how the song started soft. The build up is so good. I got chills all over my body, really! And when the drop came, I’m like.... uhm yeah! I really really like this. Can’t stop myself from repeating it. Ughhhh, this is so good. 1, 2, 3 Ha How you like that?",    3.3만  
             ً           ,you want blackpink to attend on MAMA? let's str3am and vote bp on MAMA first.,    232  
             madhu Rawat           ,This song is amazing. Blackpink comeback with a bop. Loved it!!!,    1.4만  
             lalice amanda           ,"Blackpink Queen's never disapointed me.. they'r slaying queen ,amazing girls..",    5.7천  
             Laura Samaniego           ,"NOSOTROS PODEMOS BLINKS , ESTE TIENE QUE SER EL PRIMER SOTY DE BLACKPINK ,OUR QUEENS",    121  
             Porque Me Iludes Capópi?           ,BOOMBAYAH: 1.1BWHISTLE: 600MPLAYING WITH FIRE: 600MSTAY: 300MAIIYL: 1BDDDDD: 1.5BSOLO: 600MKTL: 1.2BHYLT: 700MICE CREAM: 500MLOVESISCK GIRLS: 300MCada like eu dou 20 viwes em cada M/V,    28  
             I’m Muffin           ,"Haters: no one literally no one blahblahblah Come on guys grow up! Don’t waste your time commenting nonsense, if you hate bp then this is not your place. Don’t ruin the mood!Edit: sorry i didn’t know that there is something happening between army’s and blinks, I just knew it in the comment section saying that blinks start the spamming so they’re gonna do it also here in BP MV, but guys have you ever think of what if they’re not really a real blinks or army’s they were just antis who want us to start a fanwar? Just a disclaimer NOT ALL BLINKS WERE REAL BLINKS specially those who throw hate to others kpop groups/fandoms. So WE THE REAL BLINKS want to apologize on the behalf of the immature blonks. We waited for soooo long just to support our girls comeback so we’re not here to hate or start a war. I hope this fanwar will end not tomorrow nor later but now, because it’s totally NONSENSE, a WASTE OF TIME and full of INSECURE, IMMATURE and JUDGMENTAL people.",    8.1만  
             CYC'S BIGGEST FAN           ,I like how Blackpink’s ‘How You Like That’ comment section has already been memed.Edit: Sorry I didn’t realize that It was actually hate comments and not just people meming. I’m used to other content creators where their fans just do that for a joke reference or something else related. Can’t believe people are commenting it to maliciously freeze the vi3ws.,    2.2만  
             Rosy Molina           ,Sigan haciendo STREAM DONDE ESTÁN LAS BLINKS DE LATINOAMÉRICA,    106  
             irviniichan           ,"Please stop with the comments,  its getting annoying.  Let us just all appreciate the music here ppl.",    3.7만  
             Reveluv Red           ,Blackpink ustedes son hermosas no se dejen influenciar por los malos comentarios ustedes son arte las amo,    116  
             Zülal Karademir           ,I love you Black🖤Pink💖,    100  
             Paing Thu           ,Four queens are so hot and powerful,    2.8천  
             Kim Jennie           ,"Hadi blinks biraz daha uğraşırsak dört mükemmel kadın hak ettiği değeri görecek. Lütfen hepsini eşit sevelim.  Haksızlık yapılmasına izin vermeyelim.  Bizi daima seven, bizim için çabalayan kızlarımız için pes etmek yok.  Sevgilerle...           ~Turkish Blinks~",    1.5천  
             STREAM LOVESICK GIRLS           ,Lets all get that triple crown or whatever that is in inkigayo again.The pinks deserves it :(((,    2.8천  
"             ölmedim, ama diri de değilim           ",ᏴİᏞᏀİᏞᎬΝᎠİᎡᎷᎬJisoo ödül şovlarında ağlamayan tek üye olarak biliniyor.BİLGİLENDİRME BİTTİTurkish Blink,    645  
             Akkineni Tanmayisri           ,HOW YOU LIKE THAT: SONG OF THE YEAR BLACKPINK: BEST FEMALE GROUP BLINKS: BEST FANDOM EVER!,    720  
             skinnyed?           ,The song is only pre released but a whole bop,    525  
             Berrak Özay           ,"Arkadaşlar lütfen az sonra söyleyeceklerimi yapın bu çok önemli- Sürekli Türkçe yorum atın ve yorumlarınızın altına ""TURKISH BLINK"" yazın- Em0ji içeren yorum atmayın- Em0ji Tr3nd wi3v gibi kelimeleri bu şekilde yazın- Em0ji içeren yorumları spamlayın- Türkçe yorumları beğenin ve üste çıkmasını sağlayın....TURKISH BLINK",    960  
             i'm trash           ,for who spamming comment: look at anonymous twitter post :D edit: they posted themselves with blackpink's pillowedit 2: I'm Turkish Blink <3,    1.5만  
             how u like that           ,STR3AM THIS MV IF YOU WANT BLACKPINK TO WIN THE BEST FEMALE ARTIST ON MAMA MF,    6.2천  
             ᴛᴇᴡᴋᴇs ʙᴜʀʏ           ,Let's go 100M. Stream more blinks we got this!,    2.9천  
             Nadia Klarisa           ,Youtube hear me they just pretending to be bots to freeze the viewsBlackpink in our area,    2.4만  
             •p h u o n g•           ,Who waiting for CONCERT ONLINE OF BLACKPINK👇,    194  
             Midari Ikishima           ,GOAL:V7ews: 570MComments: 2.7MLikes:16.1MWE GOT IT BLINKS,    2.3만  
             Kim Jeon           ,Popular Opinion: WE WANT BLACKPINK TO WIN SOTY BECAUSE ITS THEIR FIRST WIN DAESANG! because why not? They are talented and well-deserve.,    3.2천  
             Sam           ,Can anyone tell me when they will start promoting on music shows and what shows...,    2.7만  
             BlinkTeumeArmy A           ,Jennie’s intro was so good,    2.5천  
             ƒlσωєy꽃           ,pls stop spamming the same comment,    1.1만  
             Rey Golino           ,Please report the “No one literally no one” they're trying to freeze the vi3ws spread !!!,    3.8만  
             Let me TREASURE you           ,"I hope yt ban this ""no one, literally no one, Everyone"" thing",    3.8만  
             black summer           ,no one:literally no one:haters: blackpink is back let’s—-BLACKPINK: How Ya Like That?,    3.6만  
             Renabele Sayco           ,lemme check how many blinks are still streaming here!. Likeeeee this,    3만  
             Kuma ༄           ,"!!!PLEASE SPREAD!!! Those who are commenting  ""no one:  literally no one: Everyone :comments this and gets nothing of likes"" They do this to block vi3ws.They are also doing this in the comments of stay gold by BTS to sabotage them. Please report these comments. (sorry for my english but i'm italian)",    1.3만  
             I'm wrong           ,70m in one day!! Don't stop to listen bp deserves it.,    2만  
             BLINK as one           ,Pls stream HOW YOU LIKE THAT MV not DANCE PERFORMANCE and vote in MAMA,    4.1천  
             Vildana Veispahić           ,"GUYS STOP THISNo one,literally no one comments...BECAUSE IT FROZEN THE VIEWS",    4.5만  
             인탄           ,LET'S MAKE IT 100M IN ONE DAYY GUYSSS!!!,    1.6만  
             j u s t b e n e           ,"Can you guys just comment, “I love this” instead of those “no one” to get attention, because you accidentally ate a raccoon when you’re younger. Please stop. Thank you for the vi3ws doe(Sarcasm is in this, don’t take this seriously)",    2.2만  
"             Maligaya, Angelica D. 2B           ",Blackpink deserves an awards so please str3am hard blinks. Let's do this for BLACKPINK! FIGHTING,    2.5천  
             Morgan Safe           ,Omg stop spamming the comments and freezing the vi3ws!,    9.5천  
             ʙᴇᴛsʏ ɢᴀʀᴄɪᴀ ୭           ,VOTE EVERYDAY FOR BLACKPINK IN MAMA,    1.4천  
             Nezuko Kamado           ,the more I see this the more I am addicted to this mv,    3.4만  
             Avneesh15-Sharma           ,"Let's teach MAMA a lesson and tell them MAMA needs BLACKPINK, Blackpink doesn't need MAMA(They blurred blackpink image in 2017 with red colour and it's considered offensive and insulted them)",    236  
             Yusuf           ,Guys let’s break the record juice ayo.  Edit: OMG WE DID IT WE DID IT WE DID IT,    5.9천  
             Kim Jeon           ,"Popular Opinion: HOW YOU LIKE THAT is a SOTY material, FACT.",    532  
