ID,Like,Comment
             Diego2thebay           ,3.0,FINALLY saw it and yes I will agree... Flawless! 👍🏽Oh one more thing...WHERES THAT FOLLOW UP VIDEO MARIANNA!?!? 😁
             Denniszen           ,4.0,3 out of 4 critics of Filmspotting also hailed it as best movie of 2019. 👍
             Drama Hyung           ,1.0,I loved the movie so much 😭💖
             Daniel Jintae Kim           ,6.0,I give your film review a 10 out of 10!
             Luis Fabián González           ,3.0,"Hey. I have just seen this, and yes it’s awesome...  but there’s something troubling me. I have heard a lot about the shocking edgy end, but I didn’t feel it, I think the director was going in that direction but at the end he didn’t go to the hole shocking edgy end."
             Susan de Bruin           ,4.0,Love this movie! Looking forward to the spoiler discussion.
             Rain Junkie           ,3.0,well-made movie. at the same time actually I felt lack of real movie these day.
             TrumooMilk           ,1.0,"I'm politely yelling at you to make the Parasite video essay! Also, thanks for putting me on to Marianne. Absolutely loved it!"
             Han Park           ,1.0,After me and my friends left the theatre we started cracking up outside lmao
             단           ,5.0,"2019 is the year, 100 celebration of korean movie. and in 2019 the korean movie parasite hit the whole world. kinda amazing thing huh"
             HTIOGranka           ,13.0,"I totally agree, this is the best movie of 2019. So freaking good! I'm so happy I went into this movie knowing nothing about it, all I knew was that Kang-ho Song was in it :D"
             scouse nofeyzulla           ,1.0,It's great to see your channel grow ..when. I subscribed to this channel it had only 5k now it's 48k ..proud of you
             Thomas Sørensen           ,3.0,"If you haven't watched Memories Of Murder by the same director, I very highly recommend it. It's similar to Fincher's Zodiac, yet stylistically and aesthetically entirely its own thing; a masterpiece just like Parasite."
             The Dapper Man           ,0.0,"I just watched the film, and about to post my review up soon! Thank you for your thoughts. Just gained a subscriber. Cheers!"
             JH FAMILY           ,2.0,"A best movie, best review!"
             Chris Leite           ,2.0,Great review
             구텐탁TV International Couple           ,2.0,Korean Movie !! 🤩👍
             Dar Morgen           ,3.0,"Saw it last night! Definitely, have to watch it again. LOVE IT!!! It goes from funny, sad, thriller. Love the title ""Parasite"". Means so many things when you watch this. I think so many people loved it because this satire could fit any country or culture where there is a discrepancy between individuals. I won't say more and don't want to overhype, but watch it for yourself."
             Michael Jagiello           ,0.0,"Would love to see your spoiler review on this. This made its way to my top 5 of all time, it really is that good."
             TIFFANY PERSAUD           ,0.0,Subbed.  Thanks for the vid!  I went in blind too.  I’ve no regrets.
             jonny marques           ,1.0,do you want a film that sounds very real? watch City of god (cidade de deus)
             Johnny Row           ,0.0,"great Review video!! Great voice and presence :) Subbed! Also this movie was incredible, I made the ramen from one of the scenes.. pretty delicious :P"
             Haha 99           ,2.0,RESPECT !
             UNMOVIED PRODUCTIONS           ,2.0,Such a damn good movie
             myChannel마이채널           ,2.0,I agree with your review.
             Shin jj           ,1.0,best movie and best review
             Nisukha Chishi Swu           ,1.0,Damn Mariana your so beautiful😍💓... Best movie review
             Kryptonite R           ,1.0,I finally got to see this movie. It was fantastic!
             Joe Z%           ,1.0,Best Review So Far. She Knows How to Tell.
             Collecting Plastic           ,1.0,"For certain films, like this one, I wish you would do a full on spoiler review."
             Max I'm           ,0.0,"Nice, smart review!"
             Mikeb8134           ,0.0,"You did a great job, I subscribed!"
             Yassine Emi           ,1.0,"Excellent movie, I liked every minute of this piece of work, it's in my top 5 of 2019 so far and may ended up as the top 1.I'm new to your channel nice review."
             jonathan morin           ,2.0,YEEESS. I finally got to see it. Loved it. Best review I've seen other were loaded with spoilers. This movie was the best and so are you
             Mm Mi           ,0.0,I just found your channel! I liked it a lot!
             Maponto Lee           ,1.0,"I knew you would love Parasite! I loved it from beginning to end, one of the best films of the decade!"
             rome8180           ,1.0,Great review. I agree with everything you said. Just subscribed to your channel.
             Urvi Vyas           ,0.0,"Ver nice review, thanks!"
             blacckage           ,0.0,New subscriber. Great review
             MAHDi Hussain           ,1.0,I love your reviews❤️Very underratedBTW 7:15 it's February
             Joo           ,0.0,"@5:52 wow, how did you know they will get the best ensemble award at SAG?"
             Asian Movie Enthusiast           ,4.0,I'm definitely looking forward to this one.
             Deago Sirenden           ,0.0,Finally :)
             Duvan Orjuela           ,0.0,Now I can't wait for your review of The Lighthouse!!!
             Denniszen           ,0.0,Love your review. But may I shout at you now for doing a spoilers review?
             Diamond Tribe           ,1.0,So glad I had no clue what this movie was about. What a wild ride! ❤️
             와이게나라냐상식적으로           ,1.0,Love this movie !!
             I am Lilacs           ,0.0,Your review was so insightful.
             RobPlaysGames           ,1.0,RESPECT!!!!!!!
             KillerQueen1           ,0.0,Perfection. Will see  it again.
             GreshTooFresh           ,12.0,"Between this and The Lighthouse, 2019 has been the year of masterpieces so far."
             Whishaw           ,0.0,"girl I appreciated your review, but I love your lipstick. please spill the lip shade name sis."
             Blip Machine           ,1.0,"I'm confused, why is Scarlett Johansson reviewing Parasite?"
             Martin Turon           ,1.0,"If you want to see the perfect mix of Mikael Haneke and David Fincher type of filmmaking, this is it."
             Vibhor Mahajan           ,0.0,Pls do A spoiler review some things went over my head 🤪
             dan dany           ,2.0,will yell on your next spoiler review. this movie is truly worth watching
             Mike Lindsay           ,0.0,"🔥🔥🔥🔥  WOW. This film changed my life, period.  0:41 💯🎥💜   👇🔥"
             jannie lou           ,0.0,❤️❤️❤️
             Learn Chinese with Moo Moo           ,1.0,"Great review!👏👏👏 This movie left me a long aftertaste so far. Especially the ending, it is almost impossible for a middle class to achieve his purpose. (Some people say that it may takes 500 yrs to *** ) . Best movie ever ! Must watch it."
             samuel blachon           ,25.0,My favorite movies of the year Parasite Midsommar Joker The life and death of John f Donovan
             eraser head           ,2.0,"you're right the cast is exceptional, include the two houses, they come alive in every scene they're in."
             DaGeezman           ,0.0,Great movie!  But I'm really here in the comments to give you a hard time about your follow up discussion video.  I'd love to hear your unrestricted thoughts on this great film.
             여Hajoung           ,2.0,Faburous review as always. I cannot wait  for your spoiler one. :) It’s so interesting to read replies on your videos as well.
             M_Sonata           ,4.0,"Omg, I was debating whether to see it in theaters or not, but now you have convinced me. There was only 2 days left to see it too, thanks!"
             A Screenwriter's Journey           ,1.0,Your spoiler video?!
             Kookycloud           ,1.0,Just watched it based on your review. Its a very nice movie but not the best of 2019
             Gyo Kal           ,0.0,spoiler review please!
             Damenicion Scott           ,1.0,Thank you for your thoughts I’ll give this movie a chance
             Ameera Sumaiti           ,0.0,"Watch another korean movie ""Hope"""
             fulfillment           ,0.0,You're cute
             Roman Dodia           ,0.0,"Hello. I am a new subscriber, and I loved your first video. I loved the way you reviewed that film. If I get a chance, I’ll watch it.And by the way I am a completely blind person."
             Jack           ,0.0,"i gave you dislike to encourage youtube to now show your videos, cheers!"
             jaydeng114           ,6.0,Your literally scarlett Johansson twin so beautiful! ❤
             Carol           ,0.0,The director Bong Joon Ho!! There's nothing to question!! The best movie I have ever watched in two decades. 👍👍👍👍👍👍
             KWANGJIN CHAI           ,2.0,Mr Bong's father is an art professor and his grandfather(mother's side) was a famous writer.
             심심해석           ,1.0,"👈🏻I took a bong’s parasite GV video, ur guys must like it 😀❤️"
             JY K           ,0.0,This film has a meaning in a word and scene.  I had to watch 3 times to understand this movie.
             익후어           ,0.0,명실상부 최고의 영화! 오스카 감독상이나 작품상은 타야합니다.
             sucheol lee           ,7.0,"They're all drinking cheap beer 'Filight' after they folded the pizza boxes and it changed to expensive one 'Sapporo' when they've all finished infiltrating. Finally, whiskey and French cognac party at the crazy night lol"
             dieyoung           ,1.0,This is the first review that has made me reconsider going to see a movie. I saw the trailer and thought that this story line had been told before and the ending was predictable.
             Philip Moore           ,0.0,My country of new zealand got it months ago and i loved it marianna can we talk in direct message about the spoilers
             The Larry Show           ,0.0,What a juicy review by a star in her own right!
             Jojo Regalado           ,0.0,"Superb, really really superb. Very funny... This movie will haunt me for years!"
             Ka Wang Kwok           ,1.0,"I am lucky enough to watch this film. In Hong Kong, Parasite had shown for months since July... This is a MUST SEE movie."
             Ahmed Mohamed           ,1.0,Please review zombie land
             Rajnish Jha           ,0.0,"Hi ma'am make a list of movies on this coming Halloween,  waiting....."
             manumaster1990           ,0.0,Nice
             lobsterdfw1           ,0.0,Best film of the decade
             Neo Ro           ,0.0,You need to see Pain & Glory
             Jae Koh           ,0.0,"Just discovered  this channel,  great review, clicked like and subscribed"
             Hot-Tea-Minh           ,3.0,"Woohoo 10! I'm glad you liked that one :3Being politically involved, I still think there IS a villain in this movie. Maybe that's just the character that as a big hairy leftist I needed to despise.Thanks for the video o7"
             Honu           ,0.0,10/10!!!!!!
             Mud Piez           ,0.0,What is your accent?
             Scott K           ,0.0,Spoiler review plsssss
             Beto Fiori           ,3.0,Love it a lot too. Without any doubt the best movie of the year .
             joao976 [GD]           ,0.0,And the golden globe ?LoLPress F
             kil koh           ,0.0,Video essay of parasite...!!!!!!!
             Robert Jou           ,3.0,"small nitpick for me, the 2 kids from the poor family are too talented to be in the situation they're in with their family"
             Mike           ,0.0,i know its not Dec yet BUT PLSSSSS!! i wanna a spoiler video
             Zubaer Chaudhari           ,0.0,Hi
             GoProJoe           ,4.0,Jong Bong Ho is amazing
             Cine Beng           ,0.0,"I wasn’t impressed by the trailers... but my oh my! I was so surprised by this movie! I watched it in July... three months before you and I have since watched it three times! Hehe.Even though I have seen most of his movies (Mother, The Host, Okja, Snowpiercer, Memories of Murder, Barking dogs never bite), I wasn’t prepared for the twists and turns ...... me and my friend were rooting for it to win best foreign film after we have watched it. We started getting very excited when it was nominated for Best Pic.... thankfully it was a happy ever after for Asian audiences like us. And this best part is... it’s win was a well deserved one! There’s no way this film is going to appear in “Movies that shouldn’t win Best Pic” list, hehe."
             Jimmy Dance           ,0.0,"This movie is so great and at the end, you started to realize that the director is just using the ""poor vs rich"" as a disguise and there is much about good vs evil and hatred vs love. The one whom died at the end is probably the best human being and the most evil one actually survived but keep getting tortured. The definition of ""revenge"" also has been refreshed, in the situation when your love one got hurt and about to die, somehow you should should not take your anger towards the one who directly hurt you, but rather the one that discriminated you, the emotional damage is much bigger than the physical one. This movie is so deep."
             Adam Samad           ,1.0,Parasite is this years Get Out. Swap the racist undertones  for wealth class.
             ST에스티           ,21.0,"I watched it when it was just opened in Korea, and I had to watch it again to understand what Director Bong wanted to show us. And I still cannot say I understand this film 100% sure. What really funny thing is this film is easy to understand and hard to understand at the same time I believe. I think this is a movie version of the little prince as every watchers will have personalised impression."
             박지호           ,0.0,"Hi, I enjoyed your review. I live in Korea. Can I recommend a movie? Let me tell you about the movie that was a ray of light for me. It's a Korean movie called ""Castaway on the Moon 2009"" that gave me more confidence in my lethargic life and time to reflect on myself. Friends, when you are as complicated and lethargic as I am, I hope you watch the Korean movie Mr. Kim drifting. ^^* korean subtitle ""김씨 표류기"""
             Austin Garcia           ,4.0,2019 is shaping up to be one of the best years for movies in a long time. Still so many films that have been getting great reviews out of Canne and Tiff. I’m expecting to be in the theatre at least once a week these next 3 months.
             Thom Geerts           ,0.0,"Was very sceptical of all the buzz but the trailer looked great. Watched it today at a film festival...WHAT.A.FILM! Best film of 2019, what a great ensemble cast! Amazing."
